,행정구역,2016 급여총계 인원 (명),2016 급여총계 금액 (백만원),2016 과세대상근로소득(총급여) 인원 (명),2016 과세대상근로소득(총급여) 금액 (백만원),2017 급여총계 인원 (명),2017 급여총계 금액 (백만원),2017 과세대상근로소득(총급여) 인원 (명),2017 과세대상근로소득(총급여) 금액 (백만원),2018 급여총계 인원 (명),2018 급여총계 금액 (백만원),2018 과세대상근로소득(총급여) 인원 (명),2018 과세대상근로소득(총급여) 금액 (백만원),2019 급여총계 인원 (명),2019 급여총계 금액 (백만원),2019 과세대상근로소득(총급여) 인원 (명),2019 과세대상근로소득(총급여) 금액 (백만원)
174,대구서구,57329,1301973,57093,1289895,55408,1319297,55127,1309036,53612,1345671,53372,1335233,52784,1371093,52542,1361282
175,대구수성구,132269,5498130,131775,5468021,132091,5752044,131582,5720793,134353,6071552,133832,6040306,137431,6366481,136911,6334978
176,대구중구,22250,671294,22171,666580,23693,758724,23611,754470,24070,817494,23992,812830,24996,869814,24904,865078
177,경북소계,792858,25485279,786306,25301821,800382,26649223,791986,26478824,817595,28305329,810313,28130729,829463,29217923,818975,29049958
178,경북경산시,84368,2343456,83563,2322858,86189,2489071,85279,2470250,88689,2658291,87834,2638056,90529,2806769,89370,2787448
179,경북경주시,83308,2714460,82526,2696248,83533,2816372,82680,2798246,84575,2935496,83918,2917820,85577,3042110,84563,3025166
180,경북고령군,9347,240270,9313,238102,9306,254083,9270,252308,9357,263234,9327,261531,9085,266341,9058,264650
181,경북구미시,153040,5298589,152453,5266537,154895,5605706,154304,5576613,157258,5920545,156762,5889558,157096,5975838,156252,5944318
182,경북군위군,5383,153885,5242,152669,5379,161773,5208,160456,5400,168922,5247,167661,5605,177992,5411,176792
183,경북김천시,41839,1360616,41581,1349287,41786,1401345,41555,1391329,43021,1493437,42791,1485271,43594,1538390,43189,1530851
184,경북문경시,17265,500559,17083,497438,17486,513569,17276,510285,18209,552710,17962,549371,19031,579522,18737,576047
185,경북봉화군,6155,172890,5978,171415,6357,187261,6207,186044,6583,201006,6424,199676,6507,205071,6424,203660
186,경북상주시,21596,618290,21406,614361,22525,658714,22081,655132,23294,708943,22954,705262,23749,735757,23071,732167
187,경북성주군,10828,274600,10593,272297,11126,287905,10920,285864,11115,302126,10782,299782,11254,313327,10534,310838
188,경북안동시,43506,1355633,43254,1349513,43343,1391644,42945,1385777,44634,1484798,44315,1478146,46148,1558516,45661,1551593
189,경북영덕군,7499,192620,7399,190267,7556,203775,7385,201622,7615,213126,7393,211437,7549,217828,7235,216066
190,경북영양군,3017,89397,2993,88885,3127,95485,3103,94967,3203,100579,3089,100054,3376,107190,3170,106666
191,경북영주시,26652,819345,26346,814081,26798,850439,26067,845066,27168,898266,26751,893240,27741,945607,27288,940145
192,경북영천시,27854,760063,27656,753728,28169,804704,27938,799246,29700,883426,29480,877563,30066,928587,29817,923191
193,경북예천군,9924,311215,9687,309096,12041,402981,11625,400433,13185,469283,12956,466568,14275,509590,13832,507222
194,경북울릉군,2861,100077,2858,99024,2907,104730,2902,103750,2951,110390,2947,109426,2892,109980,2885,109093
